Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
203;"#4A MOKKARAUNE US WELLIGE KERATIN BONDINGS 65CM MOKKABRAUN ♡";200;8;398;0;8
204;"#4 SAMTBRAUNE US WELLIGE 65CM  TAPE EXTENSIONS ♡";175;7;338;2;5
205;"#5A KÜHLES HELLBRAUN US WELLIGE TAPES  85CM ♡";175;7;459;6;1
206;"#2T18A OMBRÉ KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 65CM ♡";175;7;348;0;7
207;"#99J DUNKLE KIRSCHE 45CM TAPE EXTENSIONS  ♡";175;7;309;1;6
208;"#SILVER BONDINGS US WELLIGE  85CM ♡";175;7;466;7;0
209;"#PEARL WHITE US WELLIGE  BONDINGS 85CM ♡";175;7;483;6;1
210;"#4A MOKKABRAUNE 45CM TAPE EXTENSIONS ♡";175;7;300;3;4
211;"#6A REHBRAUNE US WELLIGE TAPE EXTENSIONS 45CM♡";175;7;291;7;0
212;"#2E DUNKELBRAUNE US WELLIGE TAPE EXTENSIONS 85CM ♡";175;7;473;4;3
213;"#AUTUMN STANDARD RUSSISCHE TAPE EXTENSIONS GLATT";175;7;508;0;7
214;"#24A 45CM SANDBLONDE TAPE EXTENSIONS  ♡";175;7;313;0;7
215;"#CARAMEL FUDGE MINI TAPE EXTENSIONS INVISIBLE RU GLATT";150;3;585;1;2
216;"TRESSEN #BITTER CACAO DUNKELBRAUN RU GLATT CLASSIC WEFT ♡";150;3;406;2;1
217;"INVISIBLE TRESSEN #PEARL WHITE RU GLATT ♡";150;3;566;1;2
218;"#SILVER ASCHBLONDE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";150;3;308;3;0
219;"#SUN-KISSED GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";150;3;546;2;1
220;"#4A MOKKABRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";150;3;279;2;1
221;"#NATURAL/GREY US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM ♡";150;3;269;3;0
222;"#SNOWY  MINI TAPE EXTENSIONS RU GLATT ♡";150;3;435;1;2
223;"#NORVEGIAN KÜHLES BLOND  US WELLIGE TAPE EXTENSIONS 45CM♡";150;6;269;0;6
224;"#CAPPUCCINO MINI TAPE EXTENSIONS INVISIBLE RU GLATT";150;3;585;0;3
225;"#VIKING BLOND GESTRÄHNTE US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM";150;3;299;0;3
226;"#SUN-KISSED MINI TAPE EXTENSIONS BALAYAGE RU GLATT ♡";150;3;435;0;3
227;"#GLOW - INVISIBLE CLIP EXTENSIONS - HELLBRAUN GOLD ♡ › 150g";150;1;203;1;0
228;"#MOCHA MELT RUSSISCHE BONDINGS GLATT 1G";150;6;413;6;0
229;"#BITTER CACAO - INVISIBLE CLIP EXTENSIONS- DUNKELBRAUN ♡ › 150g";150;1;203;1;0
230;"#6A REHBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";150;6;284;4;2
231;"#DUBAI - INVISIBLE CLIP EXTENSIONS ♡ › 150g";150;1;225;1;0
232;"TRESSEN #CHAMPAGNE HELLBLOND GOLD RU GLATT CLASSIC WEFT ♡";150;3;435;3;0
233;"TRESSEN #CARAMEL FUDGE BALAYAGE MITTELBRAUN RU GLATT CLASSIC WEFT ♡";150;3;435;0;3
234;"#1A - TIEFSCHWARZ US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";150;3;330;0;3
235;"#VIKING BLOND GESTRÄHNTE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";150;3;330;0;3
236;"#MACADAMIA GLOW - INVISIBLE CLIP EXTENSIONS ♡ › 150g";150;1;225;0;1
237;"#HONEY - INVISIBLE CLIP EXTENSIONS - HONIGBLOND ♡ › 150g";150;1;225;0;1
238;"INVISIBLE TRESSEN #RAW RU GLATT";150;3;585;0;3
239;"#BEACH BLOND - INVISIBLE CLIP EXTENSIONS - LIGHTBLOND GOLD ♡ › 150g";150;1;225;0;1
240;"#TOFFEE - INVISIBLE CLIP EXTENSIONS ♡ › 150g";150;1;225;0;1
241;"#MOCHA MELT - INVISIBLE CLIP EXTENSIONS - GESTRÄHNTES DUNKELBRAUN UND SANDIGES HELLBLOND ♡ › 150g";150;1;225;0;1
242;"P4|6 Mini Tapes";150;3;435;0;3
243;"#27 TRESSEN GOLDBLONDE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";150;3;299;0;3
244;"#RAW MINI TAPE EXTENSIONS INVISIBLE RU GLATT";150;3;585;0;3
245;"#DESERT - INVISIBLE CLIP EXTENSIONS - OMBRES HELLBRAUN UND HELLBLOND GOLD ♡ › 150g";150;1;225;0;1
246;"#8 GOLD KUPFER US WELLIGE GENIUS TRESSEN ECHTHAAR EXTENSIONS 65CM ♡";150;3;330;0;3
