Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
163;"#6A REHBRAUN US WELLIGE GENIUS TRESSEN ECHTHAAR EXTENSIONS 65CM ♡";100;2;198;2;0
164;"#8 GOLDKUPFER US WELLIGE TAPE EXTENSIONS 55CM ♡";100;4;170;4;0
165;"#6 HASELNUSSBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";100;4;184;1;3
166;"#14A DUNKELBLONDE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";100;2;198;2;0
167;"#24A SANDBLOND US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";100;2;209;2;0
168;"#8 GOLDKUPFER 45CM TAPE EXTENSIONS ♡";100;4;170;4;0
169;"#14A DUNKELBLONDE 45CM TAPE EXTENSIONS  ♡";100;4;161;4;0
170;"#SILVER  US WELLIGE TAPE 85CM ♡";100;4;270;4;0
171;"#60 PLATIN US WELLIGE BONDINGS 85CM ♡";100;4;304;2;2
172;"#MOCHA MELT US WELLIGE TAPE 85CM ♡";100;4;270;0;4
173;"#NATURAL/GREY GRAU OMBRÉ  US WELLIGE TAPE EXTENSIONS 65CM ♡";100;4;199;0;4
174;"#14A DUNKELBLONDE US WELLIGE  BONDINGS 85CM";100;4;270;0;4
175;"#SOFT-BLOND-BALAYAGE US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM";100;2;199;0;2
176;"#99J DUNKEL KIRSCHE US WELLIGE KERATIN  BONDINGS  DUNKLE KIRSCHE 65CM ♡";75;3;134;3;0
177;"#2A ASCHBRAUN US WELLIGE  BONDINGS 85CM ♡";75;3;189;2;1
178;"#24A SANDBLOND US WELLIGE KERATIN BONDINGS SANDBLOND 65CM ♡";75;3;149;2;1
179;"#3A DUNKELBLOND US WELLIGE TAPE 85CM ♡";75;3;203;0;3
180;"#2T14A US WELLIGE  BONDINGS 85CM ♡";75;3;182;3;0
181;"#2T18A TAPE 45CM EXTENSIONS ♡";75;3;121;3;0
182;"#14A DUNKELBLONDE US WELLIGE  TAPE EXTENSIONS 65CM ♡";75;3;134;3;0
183;"#NATURAL/GREY US WELLIGE KERATIN BONDINGS GRAU OMBRÉ 65CM ♡";75;3;134;3;0
184;"#10 HONIGBLONDE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;1;0
185;"#14A  DUNKELBLONDE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;1;0
186;"#27 GOLDBLOND US WELLIGE TRESSE ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";50;1;99;1;0
187;"#8 KUPFERBRAUNE US WELLIGE KERATIN BONDINGS GOLDKUPFER 65CM ♡";50;2;90;2;0
188;"#2T14A US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM ♡";50;1;100;1;0
189;"#5P18A US WELLIGE TAPE 85CM ♡";50;2;135;2;0
190;"#LILA US WELLIGE TAPE EXTENSIONS 65CM ♡";50;2;100;2;0
191;"#GRÜN US WELLIGE TAPE EXTENSIONS 65CM ♡";50;2;100;2;0
192;"#27 GOLDBLONDE 45CM TAPE EXTENSIONS  ♡";50;2;90;1;1
193;"#2A ASCHBRAUNE US WELLIGE TAPE 85CM ♡";50;2;135;0;2
194;"#MOCHA MELT BRAUN BALAYAGE  45CM TAPE EXTENSIONS ♡";50;2;90;0;2
195;"#6 HASELNUSSBRAUNE US WELLIGE BONDINGS 65CM  HASELNUSSBRAUN ♡";50;2;100;0;2
196;"#MOCHAMELT US WELLIGE  BONDINGS 85CM ♡";50;2;135;0;2
197;"#5A MITTELASCHBRAUN US WELLIGE KERATIN BONDINGS SCHWARZE 85CM ♡";50;2;135;0;2
198;"#3A MITTELASCHBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;0;1
199;"#2T18A OMBRÉ KÜHLES BLOND  US WELLIGE TAPE EXTENSIONS 55CM ♡";50;2;95;0;2
200;"#3A KÜHLES MITTELBRAUN US WELLIGE  BONDINGS 85CM ♡";50;2;135;0;2
201;"#MACADAMIA GLOW MINI TAPE EXTENSIONS";50;1;145;0;1
202;"#2 SCHOKOLADENBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";50;1;100;0;1
203;"#27 GOLDBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";25;1;50;1;0
204;"#BERGEN BLOND US WELLIGE TAPE 85CM ♡";25;1;68;1;0
205;"#10 HONIGBLONDE 45CM TAPE EXTENSIONS ♡";25;1;45;0;1
206;"#PEARL WHITE US WELLIGE TAPE 85CM ♡";25;1;78;0;1
207;"#5T18A US WELLIGE TAPE 85CM ♡";25;1;68;0;1
208;"#5M/SILVER US WELLIGE KERATIN BONDINGS HONIGBLOND 65CM ♡";25;1;50;0;1
